"Pickup location"	"Tip to revenue ratio"
"100"	0.0
"107"	0.0
"116"	0.0
"130"	0.0
"152"	0.0
"166"	0.0
"211"	0.0
"233"	0.0
"248"	0.0
"4"	0.0
"48"	0.0
"65"	0.0
"74"	0.0
"80"	0.0
"151"	0.02
"141"	0.03
"68"	0.03
"249"	0.04
"170"	0.05
"186"	0.06
"41"	0.06
"148"	0.06
"161"	0.07
"114"	0.07
"75"	0.07
"140"	0.07
"143"	0.09
"238"	0.1
"144"	0.1
"237"	0.11
"24"	0.12
"234"	0.12
"50"	0.12
"229"	0.12
"137"	0.13
"45"	0.14
"262"	0.15
"142"	0.15
"43"	0.15
"231"	0.17
"263"	0.17
"79"	0.17
"13"	0.18
"236"	0.19
"246"	0.19
"132"	0.19
"239"	0.2
"113"	0.21
"158"	0.22
"164"	0.22
"163"	0.22
"90"	0.22
"189"	0.22
"87"	0.25
"125"	0.25
"209"	0.25
"88"	0.28
"145"	1.25
